*
*
*Imbalance Prices Service For Balancing (B1770) Data
*
*DocumentID,DocumentRevNum,ActiveFlag,ProcessType,DocumentType,Resolution,CurveType,PriceCategory,ImbalancePriceAmount,SettlementPeriod,SettlementDate,ControlArea,BusinessType,TimeSeriesID,DocumentStatus
ELX-EMFIP-IMBP-22438446,1,Y,Realised,Imbalance prices,PT30M,Sequential fixed size block,Excess balance,25.78,5,2020-01-01,10YGB----------A,Balance energy deviation,ELX-EMFIP-IMBP-TS-2,Final
ELX-EMFIP-IMBP-22438446,1,Y,Realised,Imbalance prices,PT30M,Sequential fixed size block,Insufficient balance,25.78,5,2020-01-01,10YGB----------A,Balance energy deviation,ELX-EMFIP-IMBP-TS-1,Final
ELX-EMFIP-IMBP-22438318,1,Y,Realised,Imbalance prices,PT30M,Sequential fixed size block,Excess balance,28.52,4,2020-01-01,10YGB----------A,Balance energy deviation,ELX-EMFIP-IMBP-TS-2,Final
ELX-EMFIP-IMBP-22438318,1,Y,Realised,Imbalance prices,PT30M,Sequential fixed size block,Insufficient balance,28.52,4,2020-01-01,10YGB----------A,Balance energy deviation,ELX-EMFIP-IMBP-TS-1,Final
ELX-EMFIP-IMBP-22438191,1,Y,Realised,Imbalance prices,PT30M,Sequential fixed size block,Excess balance,29.37006,3,2020-01-01,10YGB----------A,Balance energy deviation,ELX-EMFIP-IMBP-TS-2,Final
ELX-EMFIP-IMBP-22438191,1,Y,Realised,Imbalance prices,PT30M,Sequential fixed size block,Insufficient balance,29.37006,3,2020-01-01,10YGB----------A,Balance energy deviation,ELX-EMFIP-IMBP-TS-1,Final
ELX-EMFIP-IMBP-22438072,1,Y,Realised,Imbalance prices,PT30M,Sequential fixed size block,Excess balance,51,2,2020-01-01,10YGB----------A,Balance energy deviation,ELX-EMFIP-IMBP-TS-2,Final
ELX-EMFIP-IMBP-22438072,1,Y,Realised,Imbalance prices,PT30M,Sequential fixed size block,Insufficient balance,51,2,2020-01-01,10YGB----------A,Balance energy deviation,ELX-EMFIP-IMBP-TS-1,Final
ELX-EMFIP-IMBP-22437930,1,Y,Realised,Imbalance prices,PT30M,Sequential fixed size block,Excess balance,50.9,1,2020-01-01,10YGB----------A,Balance energy deviation,ELX-EMFIP-IMBP-TS-2,Final
ELX-EMFIP-IMBP-22437930,1,Y,Realised,Imbalance prices,PT30M,Sequential fixed size block,Insufficient balance,50.9,1,2020-01-01,10YGB----------A,Balance energy deviation,ELX-EMFIP-IMBP-TS-1,Final
<EOF>
